Search type: State
North Carolina
Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,FIPS Code
QULA2,,Quercus laevis Walter,turkey oak,US37
QULA2,QUCA10,Quercus catesbaei Michx.,,US37
QULA3,,Quercus laurifolia Michx.,laurel oak,US37
QULA3,QUHE4,Quercus hemisphaerica auct. non W. Bartram ex Willd.,,US37
QULA3,QUOB2,Quercus obtusa (Willd.) Ashe,,US37
QULA3,QUPHL,Quercus phellos L. var. laurifolia (Michx.) Chapm.,,US37
QULA3,QUSU10,Quercus succulenta Small,,US37
QULY,,Quercus lyrata Walter,overcup oak,US37
QUMA13,,Quercus margaretta (Ashe) Small,sand post oak,US37
QUMA13,QUDR,Quercus drummondii Liebm.,,US37
QUMA13,QUMA14,"Quercus margarettiae (Ashe) Small, orth. var.",,US37
QUMA13,QUMA6,"Quercus margarettae (Ashe) Small, orth. var.",,US37
QUMA13,QUSTA,Quercus stellata Wangenh. var. araniosa Sarg.,,US37
QUMA13,QUSTM,"Quercus stellata Wangenh. var. margarettae (Ashe) Sarg., orth. var.",,US37
QUMA13,QUSTM2,Quercus stellata Wangenh. var. margaretta (Ashe) Sarg.,,US37
QUMA13,QUSTM4,"Quercus stellata Wangenh. var. margarettiae (Ashe) Sarg., orth. var.",,US37
QUMA3,,Quercus marilandica Münchh.,blackjack oak,US37
QUMAM2,,Quercus marilandica Münchh. var. marilandica,blackjack oak,US37
QUMAM2,QUNIM,"Quercus nigra L. var. marilandica L., nom. inval.",,US37
QUMI,,Quercus michauxii Nutt.,swamp chestnut oak,US37
QUMI,QUHO3,Quercus houstoniana C.H. Mull.,,US37
QUMI,QUPR4,"Quercus prinus L. p.p., nom. utique rej.",,US37
QUMI2,,Quercus minima (Sarg.) Small,dwarf live oak,US37
QUMI2,QUVIM2,Quercus virginiana Mill. var. minima Sarg.,,US37
QUMO4,,Quercus montana Willd.,chestnut oak,US37
QUMO4,QUPR2,"Quercus prinus L. p.p., nom. utique rej.",,US37
QUMU,,Quercus muehlenbergii Engelm.,chinquapin oak,US37
QUMU,QUAC,Quercus acuminata (Michx.) Houba,,US37
QUMU,QUAL4,Quercus alexanderi Britton,,US37
QUMU,QUPR5,"Quercus prinoides J.M. Coult., non Willd.",,US37
QUMU,QUPRA,Quercus prinoides Willd. var. acuminata (Michx.) Gleason,,US37
QUNI,,Quercus nigra L.,water oak,US37
QUNI,QUMI3,Quercus microcarya Small,,US37
QUNI,QUNIH,Quercus nigra L. var. heterophylla (Aiton) Ashe,,US37
QUPA5,,Quercus pagoda Raf.,cherrybark oak,US37
QUPA5,QUFAL,Quercus falcata Michx. var. leucophylla (Ashe) Palmer & Steyerm.,,US37
QUPA5,QUFAP,Quercus falcata Michx. var. pagodifolia Elliott,,US37
QUPA5,QUPA11,Quercus pagodifolia (Elliott) Ashe,,US37
QUPA2,,Quercus palustris Münchh.,pin oak,US37
QUPH,,Quercus phellos L.,willow oak,US37
QUPR,,Quercus prinoides Willd.,dwarf chinquapin oak,US37
QUPR,QUPRR,Quercus prinoides Willd. var. rufescens Rehder,,US37
QUPU80,,Quercus pumila Walter,running oak,US37
QUPU80,QUEL2,Quercus elliottii Wilbur,,US37
QURU,,Quercus rubra L.,northern red oak,US37
QURUA,,Quercus rubra L. var. ambigua (A. Gray) Fernald,northern red oak,US37
QURUA,QUBO,Quercus borealis Michx. f.,,US37
QURUA,QURUB,Quercus rubra L. var. borealis (Michx. f.) Farw.,,US37
QURUR,,Quercus rubra L. var. rubra,northern red oak,US37
QURUR,QUBOM,Quercus borealis Michx. f. var. maxima (Marshall) Ashe,,US37
QURUR,QUMA8,Quercus maxima (Marshall) Ashe,,US37
QUSH,,Quercus shumardii Buckley,Shumard's oak,US37
QUSHS2,,Quercus shumardii Buckley var. shumardii,Shumard oak,US37
QUST,,Quercus stellata Wangenh.,post oak,US37
QUST,QUSTA2,Quercus stellata Wangenh. var. attenuata Sarg.,,US37
QUST,QUSTP2,Quercus stellata Wangenh. var. parviloba Sarg.,,US37
QUVE,,Quercus velutina Lam.,black oak,US37
QUVE,QUVEM,Quercus velutina Lam. var. missouriensis Sarg.,,US37
QUVI,,Quercus virginiana Mill.,live oak,US37
